pain_point,ad_count,avg_days_running,effectiveness,competitor_count,competitors,channels,angles_used,best_example
Uncertainty About Admission Chances,1,320,320,1,CollegeVine,meta,data_credibility,"See your real chances at 1,500+ colleges — for free"
Fear Of Rejection,1,310,310,1,CollegeVine,tiktok,pov_story,I got rejected from 8 colleges before I found this tool
Lack Of Access,1,280,280,1,CollegeVine,meta,stat_shock,The average high school student gets 38 minutes of college counseling
Missing Deadlines,1,244,244,1,Study Abroad Guide,tiktok,urgency_checklist,US college application checklist nobody shares with international students
Uncertainty,1,210,210,1,Leverage Edu,meta,social_proof_volume,"Dream of studying in the USA? Our expert counselors have helped 10,000+ students"
Zero Local Guidance,1,201,201,1,Leverage Edu,tiktok,pov_country_specific,POV: You got into your dream US university from Nigeria with zero local guidance
Family Pressure,1,180,180,1,Leverage Edu,meta,guilt_fear,Your parents worked hard for this moment. Don't let a poor application ruin your chances.
Cost Barrier,2,176,176,2,"CollegeVine, Leverage Edu","meta, tiktok","price_anchor, price_anchor_outcome",Why pay $300/hr for a college counselor when AI does it better?
Not Knowing Process,1,175,175,1,ApplyBoard,tiktok,aspiration_volume,Your dream school said YES. Here's the step-by-step process that got 1 million students accepted.
Overwhelming Choice,1,160,160,1,Edvoy,meta,scale_credibility,"75,000+ courses. 750+ universities. 15+ countries."
Information Asymmetry,1,145,145,1,Leverage Edu,meta,geographic_social_proof,Stop guessing. Start knowing.
Process Ignorance,1,132,132,1,Admissions Coach,tiktok,warning_story,Pakistan student: 'I didn't know what the Common App was until 3 weeks before the deadline.'
Wanting Elite Outcomes,1,120,120,1,Crimson Education,meta,outcome_proof,Our students received 48 Ivy League offers in Early Decision 2024
Agent Dependency,1,118,118,1,Edvoy,tiktok,pov_country_specific,Pakistani student: 'I applied to 6 UK universities in one afternoon using Edvoy.'
Uncertainty Chances,1,83,83,1,UniChances,tiktok,instant_gratification,Type in your grades → See your real acceptance chances at 500+ universities.
Distrust Agents,1,61,61,1,AskUni,meta,authenticity,Ask any university question and get answers from students who actually go there.
